ID,Station Name,Street Address,City,ZIP,Latitude,Longitude,Location, # of Level1,#of level 2,Super chager,number of chager,Service ability(daily)
89472,Rapidpark - Tesla,254 W 79th St,New York,10024,40.78411,-73.980641,"(40.78411, -73.980641)",,2,,2,32
74410,Quik Park - Tesla,250 W 97th St,New York,10025,40.795368,-73.97138,"(40.795368, -73.97138)",,2,,2,32
74459,Quik Park - Tesla,808 Columbus Ave,New York,10025,40.795317,-73.966135,"(40.795317, -73.966135)",,2,,2,32
75754,Icon Parking - Tesla,169 W 95th St,New York,10025,40.793532,-73.970231,"(40.793532, -73.970231)",,2,,2,32
78097,iPark - Tesla,27 W 105th St,New York,10025,40.797691,-73.961308,"(40.797691, -73.961308)",,2,,2,32
80341,iPark - Tesla,245 E 63rd St,Manhattan,10025,40.763377,-73.963156,"(40.763377, -73.963156)",,2,,2,32
82001,Manhattan Parking - Tesla,543 W 110th St,New York,10025,40.804167,-73.965894,"(40.804167, -73.965894)",,2,,2,32
88787,BEAM CHARGING,750 Columbus Ave,New York,10025,40.793416,-73.967719,"(40.793416, -73.967719)",,2,,2,32
89479,City Parking - Tesla,40 Mercer St,New York,10025,40.721437,-74.001238,"(40.721437, -74.001238)",,2,,2,32
89495,Rapidpark - Tesla,204 W 101st St,New York ,10025,40.797359,-73.968718,"(40.797359, -73.968718)",,2,,2,32
89496,Rapidpark - Tesla,210 W 102nd St,New York ,10025,40.798108,-73.968204,"(40.798108, -73.968204)",,2,,2,32
89497,Propark - Tesla,401 W 110th St,New York ,10025,40.802151,-73.961705,"(40.802151, -73.961705)",,2,,2,32
89498,Rapidpark - Tesla,920 Park Ave,New York ,10025,40.776574,-73.96047,"(40.776574, -73.96047)",,2,,2,32
78114,iPark - Tesla,49 W 116th St,New York,10026,40.801546,-73.948555,"(40.801546, -73.948555)",,2,,2,32
53448,CARCHARGING,400 E 84TH ST,New York,10028,40.775377,-73.950411,"(40.775377, -73.950411)",,2,,2,32
56061,CARCHARGING,113 E 84th St,New York,10028,40.778787,-73.957486,"(40.778787, -73.957486)",,2,,2,32
72927,GMC - 8 E 83RD ST-STATION 2,8  E 83rd St,New York,10028,40.7790291,-73.9609047,"(40.7790291, -73.9609047)",,1,,1,16
72949,GMC - 8 E 83RD ST-STATION 1,8  E 83rd St,New York,10028,40.7790291,-73.9609047,"(40.7790291, -73.9609047)",,1,,1,16
74420,Champion Parking - Tesla,60 E End Ave,New York,10028,40.772794,-73.946969,"(40.772794, -73.946969)",,2,,2,32
74460,Quik Park - Tesla,350 E 82nd St,New York,10028,40.774531,-73.952103,"(40.774531, -73.952103)",,2,,2,32
74461,Quik Park - Tesla,444 E 86th St,New York,10028,40.776159,-73.947654,"(40.776159, -73.947654)",,2,,2,32
74532,iPark - Tesla,11 E 83rd St,New York,10028,40.779283,-73.961162,"(40.779283, -73.961162)",,2,,2,32
80342,iPark - Tesla,41 E 85th St,Manhattan,10028,40.78012,-73.959168,"(40.78012, -73.959168)",,2,,2,32
81988,Champion Parking - Tesla,60 E 90TH St,New York,10028,40.7829389,-73.9564972,"(40.7829389, -73.9564972)",,2,,2,32
82015,imPark - Tesla,611 E 83rd St,New York,10028,40.772748,-73.945633,"(40.772748, -73.945633)",,2,,2,32
85406,BEAM CHARGING,118 E 86th St,New York,10028,40.7797661,-73.9562912,"(40.7797661, -73.9562912)",1,1,,2,24
85407,BEAM CHARGING,127 E 83rd St,Manhattan,10028,40.7778702,-73.9571915,"(40.7778702, -73.9571915)",1,1,,2,24
89490,Icon Parking - Tesla,10 E 87th St,New York,10028,40.782031,-73.959484,"(40.782031, -73.959484)",,2,,2,32
41247,BEAM CHARGING,1510 Lexington Ave,Manhattan,10029,40.7869415,-73.9505157,"(40.7869415, -73.9505157)",1,1,,2,24
